nest,sampleid,latitude,longitude,nw,nq,efq,nm,efm,mpc,rqq,rqm,nf,nfp,CruF4,CruF4,CruE6,CruE6,CruB3,CruB3,CggF9,CggF9,CggA4_A5_B3,CggA4_A5_B3,CggC3_E6,CggC3_E6,CruE8,CruE8,CruG1,CruG1,CruC2t7,CruC2t7,CruG4,CruG4,CggD11,CggD11,CruB8,CruB8,CggD10,CggD10,CruH4,CruH4,CggC11,CggC11,CggG9,CggG9,CruF11,CruF11
G01,G0104,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,227,227,170,170,222,224,187,189,260,260,204,204,188,188,286,286,220,222,150,152,248,258,206,208,233,233,228,228,230,252,234,254
G01,G0102,7534945,277856,20,5,3.24,4,4.36633663366337,1.67326732673267,-0.01,0.17,7,0.35,155,159,227,233,168,170,222,228,189,195,260,260,204,204,190,190,276,278,218,222,150,150,242,246,204,204,233,233,228,242,258,264,236,254
G01,G0101,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,9,0.45,157,157,219,227,168,170,222,222,189,197,260,260,228,228,188,188,266,274,220,222,150,150,246,246,208,208,233,237,228,242,244,244,236,236
G01,G0103,7534945,277856,20,5,3.24,2,1,1.67326732673267,-0.01,0.17,2,0.1,149,153,227,227,168,170,222,232,189,195,260,260,214,244,188,188,276,286,206,226,150,150,242,248,204,208,233,233,228,228,246,248,236,250
G01,G0105,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,219,219,168,170,222,222,173,191,260,260,204,204,188,190,274,278,220,224,132,150,228,236,204,208,239,239,228,228,230,266,226,230
G02,G0202,7537347,276805,20,2,1.91,2,1.37383177570093,1.27645077157139,0.7,0.27,7,0.35,149,159,227,227,168,168,222,232,189,189,256,260,204,228,188,188,266,266,220,222,150,150,248,248,204,208,235,237,228,228,250,258,230,258
G02,G0201,7537347,276805,20,2,1.91,2,1.17906976744186,1.27645077157139,0.7,0.27,13,0.65,149,159,227,227,169,170,222,232,189,189,256,262,204,228,188,196,266,278,220,222,150,150,248,266,204,208,235,237,228,228,250,258,230,258
G06,G0602,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,4,0.2,153,159,219,227,168,168,222,228,189,191,260,260,204,204,188,188,274,278,206,220,150,150,246,254,208,208,233,235,226,226,238,254,226,262
G06,G0605,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,153,227,233,168,168,222,224,191,197,260,260,210,214,188,188,278,278,218,218,150,150,246,246,204,204,233,235,228,228,240,262,252,262
G06,G0601,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,10,0.5,151,157,219,227,168,170,222,228,189,189,260,260,204,214,188,188,278,286,218,224,150,150,238,246,204,208,235,237,228,228,248,264,248,258
G06,G0604,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,159,219,219,170,172,224,224,189,189,260,260,220,220,188,188,296,296,220,220,150,150,246,246,206,208,233,233,238,238,246,246,248,252
G06,G0606,7537565,274567,20,6,3.54,2,1,1,0.08,0.37,2,0.1,163,171,227,227,170,170,222,222,189,189,260,260,204,210,188,188,276,276,220,220,150,150,246,256,204,208,235,235,228,238,246,246,236,236
G06,G0603,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,2,0.1,153,153,227,227,168,170,224,228,187,189,260,260,204,218,188,188,274,276,218,218,150,150,246,246,208,208,233,233,228,228,246,246,230,230
G09,G0902,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,8,0.4,149,153,229,233,168,172,228,228,189,189,260,260,204,224,188,190,278,278,220,224,150,152,246,246,208,208,235,237,228,228,242,252,230,234
G09,G0903,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,2,0.1,153,153,227,227,168,170,224,232,189,189,260,260,204,204,190,190,270,270,222,222,150,150,246,246,208,208,235,235,228,228,240,240,244,250
G09,G0904,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,2,0.1,151,153,219,227,168,170,222,222,189,189,260,260,204,224,188,190,276,276,206,220,150,152,246,248,204,208,233,233,228,228,240,246,230,266
G09,G0901,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,5,0.25,133,149,219,233,170,170,222,222,189,195,260,260,204,210,188,188,274,278,220,224,150,152,246,246,204,208,233,247,228,234,240,242,234,246
G09,G0905,7535395,277949,20,5,4.34,2,1.8,1.16,0.08,0.04,3,0.15,153,153,227,229,168,170,222,224,189,191,260,260,214,230,188,188,278,278,220,220,150,150,246,248,204,208,233,233,228,228,242,260,248,252
G11,G1106,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,157,219,233,170,170,222,224,191,197,260,260,210,220,188,188,278,278,206,224,150,152,246,246,204,208,233,235,228,228,244,248,236,244
G11,G1103,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,2,0.1,147,149,219,219,170,170,222,222,191,195,260,260,226,236,188,188,266,266,218,218,150,150,246,248,208,208,237,247,228,228,244,244,230,252
G11,G1102,7538505,277226,20,8,5.62,3,3.57142857142857,1.32142857142857,0.12,0.38,5,0.25,151,151,227,227,169,170,222,228,189,193,260,260,204,228,188,188,276,278,206,220,150,150,246,246,204,208,237,237,228,228,252,258,232,236
G11,G1104,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,2,0.1,135,135,227,227,170,170,222,224,189,189,260,260,214,214,188,190,278,278,218,218,150,150,246,246,206,208,233,233,228,228,246,246,230,236
G11,G1105,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,157,157,227,227,170,170,222,222,189,189,260,260,204,204,188,190,274,276,218,222,150,152,246,248,204,208,237,237,228,228,258,258,230,252
G11,G1101,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,7,0.35,151,153,219,227,168,170,222,222,189,189,260,260,204,214,188,190,278,280,218,218,150,152,246,246,208,208,233,237,228,228,246,266,230,236
G11,G1107,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,153,227,227,170,170,224,228,189,189,260,260,224,224,188,190,284,288,218,220,150,152,246,246,204,206,233,245,228,228,232,258,236,252
G11,G1108,7538505,277226,20,8,5.62,1,1,1.32142857142857,0.12,0.38,1,0.05,151,151,219,227,168,168,224,224,189,189,260,260,220,224,188,188,276,278,222,222,150,150,246,248,204,204,233,239,228,228,246,246,226,232
G12,G1201,7536135,275033,20,2,1.11,2,1.11687865245789,1.05843932622895,-0.12,0.22,19,0.95,151,159,227,227,168,170,222,228,191,195,256,262,204,204,188,190,276,276,218,220,150,150,246,248,204,204,233,235,228,228,238,246,244,248
G12,G1202,7536135,275033,20,2,1.11,1,1,1.05843932622895,-0.12,0.22,1,0.05,149,161,219,221,168,170,222,228,189,189,260,260,204,204,188,190,280,280,206,206,150,150,246,248,208,208,233,235,228,228,242,248,250,256
G15,G1502,7535901,273943,20,2,2.08,1,1,1,0.39,0,11,0.55,159,161,227,227,168,172,228,228,189,189,260,260,210,210,188,190,276,276,206,220,150,150,236,248,204,206,233,233,238,240,230,246,252,260
G15,G1501,7535901,273943,20,2,2.08,1,1,1,0.39,0,9,0.45,153,153,227,227,168,170,228,232,189,189,260,260,214,226,188,190,264,272,206,220,150,150,248,248,204,206,233,233,228,238,246,252,228,230
G16,G1602,7533931,278711,20,2,2.1,2,1.2755905511811,1.13779527559055,-0.11,0.05,9,0.45,151,153,227,229,168,170,222,222,189,189,260,260,220,220,188,196,274,276,218,220,152,152,244,248,204,206,237,237,228,228,246,248,226,252
G16,G1601,7533931,278711,20,2,2.1,1,1,1.13779527559055,-0.11,0.05,10,0.5,149,149,227,229,168,170,222,222,187,193,260,260,214,236,188,188,274,278,206,222,150,154,246,262,204,208,235,241,228,228,244,252,230,248
G18,G1801,7533763,278277,20,2,1.36,1,1,2,0.52,0.25,17,0.85,159,159,219,227,168,170,222,228,189,189,260,260,204,212,188,190,272,276,206,218,150,150,246,248,208,208,233,237,228,238,244,258,234,248
G18,G1802,7533763,278277,20,2,1.36,3,3,2,0.52,0.25,3,0.15,155,159,219,219,170,172,222,228,189,189,260,260,210,212,190,190,272,276,206,206,150,150,240,246,204,208,235,237,228,238,246,258,234,248
G23,G2302,7537214,278305,14,2,1.56,1,1,1,0.09,0.22,3,0.214285714285714,151,153,219,221,166,170,228,232,189,189,260,260,236,236,188,188,264,274,218,218,150,150,236,246,208,208,233,241,228,228,248,254,230,230
G23,G2301,7537214,278305,14,2,1.56,1,1,1,0.09,0.22,11,0.785714285714286,157,157,227,227,168,169,224,228,189,189,260,260,204,246,190,190,278,278,218,218,150,150,246,246,208,208,233,233,228,228,242,246,250,254
G24,G2403,7537989,275804,11,4,4.66,2,1,1.67857142857143,0.03,0.1,2,0.181818181818182,155,169,227,227,168,170,224,228,191,193,260,262,204,236,188,188,274,278,218,220,150,150,246,248,204,208,235,235,222,226,238,258,230,262
G24,G2401,7537989,275804,11,4,4.66,2,1.71428571428571,1.67857142857143,0.03,0.1,4,0.363636363636364,149,169,219,227,168,170,228,232,189,193,260,262,222,250,188,188,274,278,218,222,150,150,246,246,204,208,237,237,228,228,240,240,238,252
G24,G2402,7537989,275804,11,4,4.66,3,3,1.67857142857143,0.03,0.1,3,0.272727272727273,151,153,219,227,170,170,224,232,187,189,260,260,204,222,188,190,274,276,218,218,150,152,246,246,204,208,237,237,228,228,242,258,230,236
G24,G2404,7537989,275804,11,4,4.66,1,1,1.67857142857143,0.03,0.1,2,0.181818181818182,153,167,227,227,168,170,228,228,189,191,260,276,204,236,188,190,270,276,220,226,150,150,242,246,208,208,237,241,228,228,242,264,234,236
